iter	RMSE
0	5.277495906
1	5.195077072
2	5.106635972
3	5.017197923
4	4.943205157
5	4.869783352
6	4.800885248
7	4.72218062
8	4.655208447
9	4.585416561
10	4.516400294
11	4.442550095
12	4.372116095
13	4.308376624
14	4.239001196
15	4.183894376
16	4.120382717
17	4.059515957
18	3.995796284
19	3.939908525
20	3.889001682
21	3.82254426
22	3.770411539
23	3.71544143
24	3.663666367
25	3.608969318
26	3.556535054
27	3.503108814
28	3.454628618
29	3.406552652
30	3.364225488
31	3.319382447
32	3.275549888
33	3.229307575
34	3.18516813
35	3.144127593
36	3.111178381
37	3.075926156
38	3.038450117
39	3.004485028
40	2.966798313
41	2.929035575
42	2.893370442
43	2.863217426
44	2.82059077
45	2.785259007
46	2.747765661
47	2.714245173
48	2.685364212
49	2.657511536
50	2.627491346
51	2.600695416
52	2.57137799
53	2.537087687
54	2.521986888
55	2.507782812
56	2.47633919
57	2.449458075
58	2.427479522
59	2.401242112
60	2.374610655
61	2.358358522
62	2.333164813
63	2.310633662
64	2.302789169
65	2.27876841
66	2.25519723
67	2.233354198
68	2.208583064
69	2.18823887
70	2.166714686
71	2.154220435
72	2.139688397
73	2.121377724
74	2.107854416
75	2.088078449
76	2.068241502
77	2.050038145
78	2.032682822
79	2.013895879
80	1.99788404
81	1.980713122
82	1.964066415
83	1.947263286
84	1.930611412
85	1.91059262
86	1.899649935
87	1.885310949
88	1.868484928
89	1.854262783
90	1.83849038
91	1.824241584
92	1.808774585
93	1.796605294
94	1.782235648
95	1.776304166
96	1.761688795
97	1.749222194
98	1.734377433
99	1.723443002
100	1.71812774
101	1.704820546
102	1.689160496
103	1.676987853
104	1.663611538
105	1.649451442
106	1.640289986
107	1.632356608
108	1.617988716
109	1.603828015
110	1.592120191
111	1.582012306
112	1.571405994
113	1.563260643
114	1.552077267
115	1.538865144
116	1.524654758
117	1.511957521
118	1.503045212
119	1.491682865
120	1.487159272
121	1.480378987
122	1.46966959
123	1.458276129
124	1.448736491
125	1.44049267
126	1.432704789
127	1.421639663
128	1.411579966
129	1.401104753
130	1.393092409
131	1.380875509
132	1.37081791
133	1.361558598
134	1.348057266
135	1.339232101
136	1.330081323
137	1.321028881
138	1.310391907
139	1.303098115
140	1.297546919
141	1.287931891
142	1.280442678
143	1.273428933
144	1.266138259
145	1.258239532
146	1.252654679
147	1.242195843
148	1.234480772
149	1.228133617
150	1.21948605
151	1.21168653
152	1.204300344
153	1.200655931
154	1.193667262
155	1.185723451
156	1.177690645
157	1.168974815
158	1.163099605
159	1.15832118
160	1.154763688
161	1.148105249
162	1.136667551
163	1.134078989
164	1.126986482
165	1.121970809
166	1.112321915
167	1.109517836
168	1.103302969
169	1.09925452
170	1.094919232
171	1.09127776
172	1.084289543
173	1.075955355
174	1.07097221
175	1.064647795
176	1.059988268
177	1.056729316
178	1.050174543
179	1.045572286
180	1.040672281
181	1.036279158
182	1.029231671
183	1.023004851
184	1.015453339
185	1.010081292
186	1.005770223
187	1.000581497
188	0.9957988363
189	0.9920447843
190	0.9880651479
191	0.9816852202
192	0.9776684382
193	0.9702091923
194	0.9641596033
195	0.9593829501
196	0.9543853416
197	0.9498692867
198	0.9461876279
199	0.9399215311
200	0.9357229299
201	0.9342356296
202	0.9299779199
203	0.9270994855
204	0.9182270963
205	0.9155104012
206	0.9108865621
207	0.9039813033
208	0.8998929295
209	0.8925206384
210	0.8885912967
211	0.8832687029
212	0.8804883199
213	0.876316613
214	0.872230293
215	0.8688798986
216	0.8642476584
217	0.8621863562
218	0.857770362
219	0.8553563742
220	0.8515438282
221	0.8476154166
222	0.8412287441
223	0.837802208
224	0.8332810322
225	0.8272573124
226	0.8230306078
227	0.8198190665
228	0.8149849438
229	0.811368192
230	0.8083017895
231	0.8044035956
232	0.8017830911
233	0.7985242582
234	0.7961610839
235	0.7939635932
236	0.7915168771
237	0.7889255345
238	0.7859288474
239	0.7832323649
240	0.7811454344
241	0.7794814349
242	0.7777875156
243	0.775511799
244	0.7725270579
245	0.7698336976
246	0.7681901308
247	0.7650051279
248	0.7629476187
249	0.7593220393
250	0.757712722
251	0.7551947967
252	0.7531088989
253	0.750188932
254	0.7476604057
255	0.744409535
256	0.7409301308
257	0.7381705888
258	0.73550281
259	0.733198018
260	0.7296464779
261	0.7267691496
262	0.7240159802
263	0.7229397777
264	0.7200081946
265	0.7185263232
266	0.7167640595
267	0.7145229301
268	0.7116820323
269	0.7103465041
270	0.7081160881
271	0.7067142721
272	0.7051719671
273	0.7025440865
274	0.700799931
275	0.6980237634
276	0.6948712434
277	0.6922047758
278	0.6903346598
279	0.6873717904
280	0.6850530222
281	0.6826157385
282	0.679749253
283	0.6775411326
284	0.6747904739
285	0.6733380549
286	0.6713946521
287	0.6702531439
288	0.667374848
289	0.665085806
290	0.6634535345
291	0.6618350341
292	0.6604881245
293	0.6590490957
294	0.6569932394
295	0.6558387794
296	0.6537430001
297	0.6511283518
298	0.649302909
299	0.6480429747
300	0.646396471
301	0.6449923257
302	0.6438148936
303	0.6423591153
304	0.6408442229
305	0.6385792179
306	0.6380468918
307	0.6369257278
308	0.6350583417
309	0.6331143998
310	0.6323667457
311	0.6311267337
312	0.6293826859
313	0.6271788597
314	0.6257605528
315	0.6237606133
316	0.6232171076
317	0.6213555248
318	0.6202219901
319	0.618404393
320	0.61565797
321	0.6140840406
322	0.6126335482
323	0.6116455015
324	0.6105407503
325	0.6094443982
326	0.6085493799
327	0.6067373472
328	0.60503563
329	0.6046023047
330	0.6025667923
331	0.6010649642
332	0.6001536459
333	0.5994086527
334	0.5985268033
335	0.5969402652
336	0.5958421601
337	0.5938167582
338	0.5927800472
339	0.5921265911
340	0.59060946
341	0.5900759749
342	0.5888637159
343	0.5872221886
344	0.5866280083
345	0.5853453427
346	0.5842743219
347	0.5837338408
348	0.5821217208
349	0.581768747
350	0.5811540371
351	0.5801203328
352	0.5785557085
353	0.5774564437
354	0.5759417974
355	0.57503326
356	0.5739417091
357	0.5732024431
358	0.5723148484
359	0.5720753867
360	0.5700681333
361	0.568371978
362	0.5678292608
363	0.5663654278
364	0.565006914
365	0.5637349283
366	0.5625432589
367	0.5617203784
368	0.5608330049
369	0.560136341
370	0.5594692826
371	0.5590787537
372	0.5574482603
373	0.556244383
374	0.5552626438
375	0.554007736
376	0.5529609961
377	0.5510969823
378	0.5508139933
379	0.549104616
380	0.5474062921
381	0.5464107056
382	0.5452393586
383	0.5433766345
384	0.5429188051
385	0.5420240011
386	0.5405119284
387	0.5401609517
388	0.5385798877
389	0.5377581713
390	0.5369305378
391	0.5360446519
392	0.5357129009
393	0.5348826237
394	0.5342061156
395	0.533288731
396	0.5315580272
397	0.5306989951
398	0.5300945462
399	0.5292491903
400	0.5289376618
401	0.5277390777
402	0.527313135
403	0.5260632727
404	0.5254685974
405	0.5251745041
406	0.5246364121
407	0.5238249341
408	0.5229755762
409	0.5226927517
410	0.5219122011
411	0.5210960712
412	0.520886423
413	0.5199484518
414	0.5196769619
415	0.5195252237
416	0.5188232669
417	0.5178950644
418	0.5171776618
419	0.5165807872
420	0.5164435588
421	0.5161786566
422	0.515373195
423	0.5149135697
424	0.5134847502
425	0.5126000695
426	0.5115296676
427	0.5101936099
428	0.50975734
