iter	Passed	Remaining
0	0	859
1	1	767
2	2	710
3	2	689
4	3	680
5	4	664
6	4	656
7	5	654
8	5	658
9	6	656
10	7	653
11	7	654
12	8	638
13	9	641
14	9	640
15	10	638
16	11	639
17	11	639
18	12	638
19	13	639
20	13	638
21	14	637
22	14	636
23	15	638
24	16	638
25	17	637
26	17	635
27	18	629
28	18	628
29	19	627
30	20	626
31	20	621
32	21	620
33	21	620
34	22	619
35	23	618
36	23	619
37	24	619
38	25	621
39	25	620
40	26	620
41	27	619
42	27	619
43	28	620
44	29	622
45	30	623
46	30	624
47	31	625
48	32	625
49	32	625
50	33	624
51	34	623
52	34	623
53	35	622
54	36	622
55	36	621
56	37	621
57	38	621
58	38	621
59	39	623
60	40	622
61	41	622
62	41	621
63	42	622
64	43	622
65	43	622
66	44	621
67	45	621
68	46	620
69	46	621
70	47	621
71	48	620
72	48	617
73	49	617
74	50	617
75	50	617
76	51	617
77	52	616
78	52	616
79	53	615
80	54	616
81	54	615
82	55	614
83	56	613
84	56	613
85	57	613
86	58	613
87	59	612
88	59	612
89	60	611
90	61	611
91	61	610
92	62	609
93	63	609
94	63	608
95	64	608
96	65	607
97	65	606
98	66	606
99	67	603
100	67	600
101	68	599
102	68	599
103	69	598
104	70	597
105	70	598
106	71	597
107	72	597
108	73	597
109	73	596
110	74	595
111	74	592
112	75	590
113	75	590
114	76	589
115	77	588
116	77	588
117	78	588
118	79	587
119	80	586
120	80	584
121	80	581
122	81	581
123	82	580
124	82	579
125	83	579
126	84	577
127	84	577
128	85	576
129	86	576
130	86	575
131	87	575
132	88	574
133	88	574
134	89	574
135	90	573
136	90	572
137	91	572
138	92	571
139	92	571
140	93	569
141	94	568
142	94	568
143	95	567
144	96	566
145	96	566
146	97	566
147	98	565
148	98	564
149	99	564
150	100	563
151	100	562
152	101	562
153	102	560
154	102	560
155	103	559
156	104	559
157	104	558
158	105	557
159	106	557
160	106	556
161	107	555
162	108	555
163	108	554
164	109	553
165	110	553
166	110	552
167	111	552
168	112	551
169	112	551
170	113	550
171	113	548
172	114	547
173	115	547
174	115	545
175	116	545
176	117	544
177	117	542
178	118	542
179	118	541
180	119	541
181	120	540
182	120	539
183	121	539
184	122	538
185	122	538
186	123	537
187	124	536
188	124	536
189	125	535
190	126	534
191	126	533
192	127	533
193	128	532
194	128	531
195	129	531
196	130	530
197	130	529
198	131	529
199	132	528
200	132	527
201	133	526
202	134	526
203	134	524
204	135	524
205	135	523
206	136	523
207	137	522
208	137	521
209	138	521
210	139	521
211	139	520
212	140	519
213	141	518
214	141	518
215	142	517
216	143	516
217	143	515
218	144	514
219	145	514
220	145	513
221	146	513
222	147	512
223	147	511
224	148	511
225	149	510
226	149	510
227	150	509
228	151	508
229	151	508
230	152	508
231	153	507
232	154	507
233	154	506
234	155	506
235	156	505
236	156	505
237	157	504
238	158	504
239	159	503
240	159	503
241	160	502
242	160	501
243	161	500
244	162	500
245	162	499
246	163	498
247	164	498
248	164	497
249	165	496
250	166	496
251	167	495
252	167	495
253	168	494
254	169	493
255	169	493
256	170	492
257	171	492
258	171	491
259	172	490
260	173	490
261	173	489
262	174	489
263	176	491
264	176	490
265	178	491
266	178	490
267	179	490
268	180	489
269	180	489
270	181	488
271	182	487
272	182	487
273	183	486
274	184	485
275	184	485
276	185	484
277	186	483
278	186	483
279	187	482
280	188	481
281	188	481
282	189	480
283	190	479
284	190	479
285	191	478
286	192	478
287	193	477
288	193	476
289	194	476
290	195	475
291	195	474
292	196	474
293	197	473
294	197	472
295	198	472
296	199	471
297	199	470
298	200	470
299	201	469
300	201	468
301	202	468
302	203	467
303	203	466
304	204	466
305	205	465
306	205	464
307	206	463
308	207	463
309	207	462
310	208	462
311	209	461
312	209	460
313	210	460
314	211	459
315	211	458
316	212	458
317	213	457
318	214	456
319	214	456
320	215	455
321	216	455
322	216	454
323	217	453
324	218	453
325	218	452
326	219	451
327	220	451
328	220	450
329	221	449
330	222	449
331	222	448
332	223	447
333	224	447
334	224	446
335	225	445
336	226	445
337	226	444
338	227	443
339	228	443
340	228	442
341	229	441
342	230	441
343	230	440
344	231	439
345	232	439
346	232	438
347	233	437
348	234	437
349	234	436
350	235	435
351	236	435
352	237	434
353	237	434
354	238	433
355	239	432
356	239	432
357	240	431
358	241	431
359	242	430
360	242	429
361	243	429
362	244	428
363	245	428
364	245	427
365	246	427
366	247	426
367	247	425
368	248	425
369	249	424
370	250	424
371	250	423
372	251	422
373	252	421
374	252	421
375	253	420
376	254	420
377	254	419
378	255	418
379	256	417
380	256	417
381	257	416
382	258	415
383	258	415
384	259	414
385	260	413
386	260	413
387	261	412
388	262	411
389	262	411
390	263	410
391	264	409
392	264	409
393	265	408
394	266	407
395	266	407
396	267	406
397	268	405
398	268	405
399	269	404
400	270	403
401	271	403
402	271	402
403	272	401
404	273	401
405	273	400
406	274	399
407	275	399
408	275	398
409	276	397
410	277	397
411	277	396
412	278	395
413	279	395
414	279	394
415	280	393
416	281	393
417	281	392
418	282	391
419	283	391
420	284	390
421	284	390
422	285	389
423	286	388
424	286	388
425	287	387
426	288	386
427	288	386
428	289	385
429	290	384
430	290	384
431	291	383
432	292	382
433	292	381
434	293	381
435	294	380
436	294	379
437	295	379
438	296	378
439	296	377
440	297	377
441	298	376
442	298	375
443	299	375
444	300	374
445	300	373
446	301	373
447	302	372
448	302	371
449	303	371
450	304	370
451	305	370
452	306	370
453	307	370
454	308	369
455	309	369
456	310	368
457	311	368
458	312	368
459	313	367
460	313	367
461	314	366
462	315	365
463	316	365
464	316	364
465	317	363
466	318	363
467	319	362
468	319	362
469	320	361
470	321	360
471	321	360
472	322	359
473	323	358
474	323	358
475	324	357
476	325	356
477	326	356
478	326	355
479	327	354
480	328	354
481	328	353
482	329	352
483	330	352
484	330	351
485	331	350
486	332	350
487	333	349
488	333	348
489	334	348
490	335	347
491	335	346
492	336	345
493	337	345
494	337	344
495	338	343
496	339	343
497	339	342
498	340	341
499	341	341
500	341	340
501	342	339
502	343	339
503	343	338
504	344	337
505	345	337
506	345	336
507	346	335
508	347	335
509	348	334
510	348	333
511	349	333
512	350	332
513	350	331
514	351	331
515	352	330
516	352	329
517	353	328
518	354	328
519	354	327
520	355	326
521	356	326
522	356	325
523	357	324
524	358	324
525	358	323
526	359	322
527	360	322
528	360	321
529	361	320
530	362	320
531	362	319
532	363	318
533	364	317
534	365	317
535	365	316
536	366	315
537	367	315
538	367	314
539	368	313
540	369	313
541	369	312
542	370	311
543	371	311
544	371	310
545	372	309
546	373	309
547	373	308
548	374	307
549	375	306
550	375	306
551	376	305
552	377	304
553	377	304
554	378	303
555	379	302
556	380	302
557	380	301
558	381	300
559	382	300
560	382	299
561	383	298
562	384	298
563	384	297
564	385	296
565	386	296
566	386	295
567	387	294
568	388	294
569	388	293
570	389	292
571	390	292
572	391	291
573	391	290
574	392	290
575	393	289
576	393	288
577	394	287
578	395	287
579	395	286
580	396	285
581	397	285
582	397	284
583	398	283
584	399	283
585	399	282
586	400	281
587	401	281
588	401	280
589	402	279
590	403	279
591	403	278
592	404	277
593	405	277
594	405	276
595	406	275
596	407	274
597	407	274
598	408	273
599	409	272
600	410	272
601	410	271
602	411	270
603	412	270
604	412	269
605	413	268
606	414	268
607	414	267
608	415	266
609	416	266
610	417	265
611	417	264
612	418	264
613	419	263
614	420	263
615	420	262
616	421	261
617	422	260
618	422	260
619	423	259
620	424	259
621	425	258
622	426	258
623	427	257
624	428	256
625	429	256
626	429	255
627	430	255
628	431	254
629	432	253
630	433	253
631	433	252
632	434	252
633	435	251
634	436	250
635	437	250
636	437	249
637	438	248
638	439	248
639	440	247
640	440	246
641	441	246
642	441	245
643	442	244
644	443	243
645	443	243
646	444	242
647	445	241
648	446	241
649	446	240
650	447	239
651	448	239
652	448	238
653	449	237
654	450	237
655	450	236
656	451	235
657	452	235
658	452	234
659	453	233
660	454	233
661	455	232
662	455	231
663	456	230
664	457	230
665	457	229
666	458	228
667	459	228
668	459	227
669	460	226
670	461	226
671	461	225
672	462	224
673	463	224
674	464	223
675	464	222
676	465	222
677	466	221
678	466	220
679	467	219
680	468	219
681	468	218
682	469	217
683	470	217
684	470	216
